Alabama,35.9
Ohio State,27.6
Clemson,26.9
Oklahoma,24.3
Georgia,22.2
Texas,19.5
Notre Dame,19.3
Texas A&M,18.2
Wisconsin,18.1
Iowa State,17.9
Florida,17.4
Iowa,17
BYU,16.2
Cincinnati,14.8
Oklahoma State,14.4
Indiana,14.3
Oregon,14.3
USC,14.3
Auburn,13.3
Northwestern,12.8
TCU,12.2
UCF,12
Arizona State,12
Penn State,11.9
Miami,10.2
North Carolina,10.2
Utah,10
LSU,9.2
UCLA,8.5
Coastal Carolina,7.5
West Virginia,7.4
Virginia Tech,7.3
Washington,7.3
Stanford,6.8
Ole Miss,6.5
Louisiana,6.4
Tulsa,6.4
Louisville,6.2
Appalachian State,6
Buffalo,5.7
Pittsburgh,5.5
Minnesota,5.4
Wake Forest,5
Nebraska,4.9
Kentucky,4.8
Boise State,4.8
Baylor,4.7
Michigan,4.5
Missouri,3.8
Purdue,3.8
California,3.5
Mississippi State,3.1
Tennessee,3
Boston College,2.9
Kansas State,2.9
Arkansas,2.8
Virginia,2.6
Marshall,2
Colorado,1.8
San Diego State,1.7
UAB,1.5
NC State,1.5
Tulane,1.3
Oregon State,1.2
Houston,1.1
Ball State,0.9
SMU,0.9
Washington State,0.8
Memphis,0.6
Texas Tech,0.4
San Jose State,-0.2
Rutgers,-0.3
Wyoming,-0.5
Air Force,-1
Nevada,-1.1
Liberty,-1.2
Army,-1.5
Maryland,-1.6
South Carolina,-1.7
Toledo,-2.2
Illinois,-2.3
W Michigan,-2.3
Michigan State,-2.9
Ohio,-3.4
C Michigan,-3.5
Ga Southern,-3.8
Kent State,-3.8
Florida State,-3.8
Miami (OH),-4.4
Georgia Tech,-4.7
Georgia State,-4.7
Troy,-4.8
East Carolina,-5.6
Hawai'i,-6.4
Fresno State,-6.5
Rice,-6.7
FAU,-7.1
Arizona,-7.1
Duke,-7.3
Colorado State,-8
Arkansas State,-8.1
UTSA,-8.4
E Michigan,-8.5
Syracuse,-8.5
Navy,-9.1
W Kentucky,-10
New Mexico,-11.3
Louisiana Tech,-11.5
USF,-11.7
N Illinois,-12
Charlotte,-12.6
Vanderbilt,-12.7
Temple,-13
South Alabama,-13.2
Texas State,-14.1
Southern Miss,-14.8
Kansas,-15.2
Utah State,-17.2
Mid Tennessee,-17.9
North Texas,-18.1
UNLV,-18.5
FIU,-18.9
UTEP,-22.8
UL Monroe,-25.3
Akron,-25.4
Bowling Green,-31.1
UMass,-33.1
