Oregon,28.3
Alabama,26.8
TCU,26.1
OSU,25.7
Georgia,24.3
Baylor,23.9
Michigan State,23.1
Auburn,21.9
Ole Miss,20.5
Miss St,20.1
UCLA,19.2
Stanford,19.2
USC,19.2
FSU,19
LSU,19
Oklahoma,18.9
Arkansas,17.5
Kansas State,17.3
Wisconsin,17.1
Clemson,16.5
Georgia Tech,16
Florida,15.7
Texas A&M,15
Arizona State,14.2
Arizona,14.1
Missouri,13.7
Utah,13.5
Nebraska,13.2
Marshall,13
Notre Dame,12.6
Tennessee,12.3
West Virginia,12.1
South Carolina,11.4
Washington,11.3
Louisville,11
Miami,10.8
Boise State,10.7
Texas,8.8
Minnesota,8.3
Memphis,7.9
VT,7.9
Duke,7.7
BYU,7.5
Michigan,7.2
Pitt,7.2
UVA,6.9
Cal,6.5
Oklahoma State,6.5
Iowa,6.4
Cincinnati,6.3
Boston College,6
Maryland,5.8
LA Tech,5
Houston,4.9
UCF,4.7
Penn State,4.6
UNC,4.4
NC State,3.9
ECU,3.8
Kentucky,3.3
Oregon State,3.2
Washington St,2.8
Colorado State,2.4
Texas Tech,2.1
Utah State,1.9
Northwestern,1.8
Rutgers,1.5
Toledo,1.1
Navy,0.6
N Illinois,0.2
Ga Southern,0.1
Nevada,-0.3
Syracuse,-0.8
Indiana,-0.8
Colorado,-1
Temple,-1.4
San Diego State,-2
W Michigan,-2.2
Illinois,-2.5
Louisiana,-2.6
Air Force,-2.6
Arkansas State,-2.7
W Kentucky,-3
Rice,-3.2
Iowa State,-3.9
Purdue,-4
Cent Michigan,-5
Fresno State,-5.3
Appalachian St,-5.6
UAB,-6.1
Kansas,-6.5
Mid Tennessee,-6.9
Texas State,-8.2
Vanderbilt,-8.2
Ball State,-8.4
Hawaii,-9.1
UTEP,-9.2
South Alabama,-9.4
Bowling Green,-9.4
Tulane,-9.7
UL Monroe,-9.9
USF,-10.1
UTSA,-10.4
Wake Forest,-10.4
Akron,-10.7
Ohio,-10.8
Buffalo,-10.9
Old Dominion,-11.4
Wyoming,-11.5
San Jose State,-11.7
FAU,-12
New Mexico,-12.1
FIU,-12.2
North Texas,-12.8
Tulsa,-13
Army,-14.1
Kent State,-14.7
UMass,-14.7
UConn,-14.8
Southern Miss,-14.9
Miami (OH),-15.9
UNLV,-17.4
Idaho,-19.3
Troy,-19.4
SMU,-20.5
New Mexico St,-21.8
Georgia State,-23.5
E Michigan,-25.8
