Oklahoma,27.8
Alabama,25.5
OSU,24.1
Baylor,22.1
Ole Miss,22.1
Clemson,21.3
TCU,21
Stanford,20.3
Notre Dame,19.8
FSU,19.8
Tennessee,19.1
USC,19.1
LSU,19
Michigan State,18
UNC,17.6
Arkansas,16.2
Oklahoma State,15.9
Michigan,15.7
Georgia,15.6
UCLA,15.4
West Virginia,15.2
Miss St,15.1
Texas A&M,14.7
Florida,14.6
Oregon,14.4
Wisconsin,13.4
Iowa,13.3
Cal,13.3
Utah,13.2
Washington,12.5
W Kentucky,11.9
Auburn,11.3
Georgia Tech,10.6
VT,10.6
Texas Tech,10.4
NC State,10
Pitt,9.8
Boise State,9.7
Louisville,9.6
Houston,9.6
Bowling Green,9.3
Arizona State,9.2
Memphis,9
BYU,8.9
Nebraska,8.7
Toledo,8
Navy,7.4
Temple,7.4
Miami,7.4
Texas,7.3
Penn State,6.8
Kansas State,6.3
Washington St,6.3
Northwestern,6.3
USF,5.8
Arizona,5.7
Appalachian St,5.7
Duke,5.7
Missouri,5.2
W Michigan,4.8
San Diego State,4.3
South Carolina,4.1
LA Tech,3.8
Southern Miss,3.6
Cincinnati,3.5
Minnesota,3.3
Illinois,3.3
Ga Southern,3.2
Marshall,2.6
UVA,2.4
Arkansas State,2.3
Boston College,1.9
Kentucky,1.8
Indiana,1.8
Air Force,1.7
Utah State,1.5
Vanderbilt,1.4
Mid Tennessee,1.3
Iowa State,1.2
N Illinois,1.1
Syracuse,0.3
ECU,0
Colorado,-0.8
Maryland,-1.2
Cent Michigan,-1.5
Wake Forest,-3.1
Purdue,-3.9
Ohio,-4.4
Rutgers,-5
San Jose State,-5.1
UConn,-5.8
Colorado State,-6
Tulsa,-6
Akron,-6.8
Troy,-8.2
Oregon State,-8.3
New Mexico,-8.7
Nevada,-8.8
FAU,-9.5
Georgia State,-10.1
Buffalo,-10.4
FIU,-10.7
Ball State,-11.6
UNLV,-12.2
Louisiana,-12.4
UMass,-12.5
Rice,-14
SMU,-14.1
Army,-14.9
Texas State,-15.2
Tulane,-16
Fresno State,-16.1
Idaho,-16.4
UTSA,-16.5
Kent State,-16.5
Wyoming,-16.5
South Alabama,-17.1
UL Monroe,-17.4
Old Dominion,-17.8
Hawaii,-18
UTEP,-18.2
Kansas,-18.3
Miami (OH),-18.3
New Mexico St,-18.5
UCF,-19
E Michigan,-20.2
Charlotte,-21.4
North Texas,-21.4
